Time Stamp= 2010-03-23 03:27:00
0.440	0.009	289.688	49.798	-0.879	2.639	0.242	0.205	1.010	16.980	73.259
0.450	0.006	305.156	51.141	-0.968	3.076	0.383	0.166	1.040	16.980	73.259
0.460	0.006	302.344	45.993	-0.017	3.950	0.531	0.002	1.070	16.980	73.259
0.470	0.008	305.156	49.462	-0.213	3.278	0.420	0.033	1.010	16.980	73.259
0.480	0.004	295.312	57.184	-0.245	2.909	0.451	0.035	1.280	16.980	73.259
0.490	0.008	284.062	56.960	-0.731	2.292	0.143	0.205	0.940	16.980	73.259
0.500	0.009	288.281	49.910	-0.421	2.544	0.215	0.104	0.970	16.980	73.259
0.510	0.007	296.719	53.379	-0.324	2.550	0.225	0.078	0.860	16.980	73.259
0.520	0.004	277.031	53.827	1.031	2.827	0.336	-0.197	0.850	16.980	73.259
0.530	0.006	293.906	58.191	0.241	2.347	0.186	-0.062	0.690	16.980	73.259
0.540	0.006	282.656	70.501	-0.196	1.650	-0.137	0.084	0.520	16.980	73.259
0.550	0.004	306.562	60.317	0.477	2.448	0.287	-0.102	0.640	16.980	73.259
0.560	0.004	319.219	73.858	0.071	1.922	0.330	-0.014	0.550	16.980	73.259
0.570	0.004	302.344	58.191	0.301	2.273	0.146	-0.084	0.510	16.980	73.259
0.580	0.005	286.875	56.624	1.565	2.687	0.328	-0.305	0.470	16.980	73.259
Time Stamp= 2010-03-23 06:57:00
0.025	0.000	248.906	56.848	-0.402	2.701	0.340	0.076	2.550	16.980	73.259
0.030	0.000	254.531	57.631	-0.727	2.732	0.375	0.127	2.550	16.980	73.259
0.035	0.001	317.812	70.724	0.819	1.873	0.127	-0.236	2.550	16.980	73.259
0.040	0.003	232.031	74.529	-0.371	1.680	0.021	0.127	2.550	16.980	73.259
0.045	0.010	230.625	55.953	-0.020	2.713	0.326	0.004	2.550	16.980	73.259
0.050	0.062	247.500	38.608	0.435	6.877	0.801	-0.014	2.550	16.980	73.259
0.055	0.026	229.219	45.769	0.390	4.292	0.598	-0.035	2.550	16.980	73.259
0.060	0.006	264.375	55.617	0.211	3.264	0.564	-0.021	2.550	16.980	73.259
0.065	0.034	236.250	37.600	1.412	6.424	0.734	-0.068	2.550	16.980	73.259
0.070	0.042	248.906	53.715	0.583	3.383	0.549	-0.062	2.020	16.980	73.259
0.075	0.063	229.219	39.167	-8.430	7.182	0.850	0.174	2.290	16.980	73.259
0.080	0.116	239.062	46.889	4.231	4.841	0.746	-0.191	1.320	16.980	73.259
0.085	0.038	226.406	34.915	-6.208	8.647	0.854	0.123	1.820	16.980	73.259
