Time Stamp= 2012-02-01 00:20:00
0.390	0.007	95.625	43.531	0.449	0.014	1.130
0.400	0.007	97.031	42.300	0.576	0.145	1.030
0.410	0.007	99.844	47.000	0.518	0.068	0.990
0.420	0.008	99.844	41.517	0.709	0.031	1.020
0.430	0.007	104.062	45.322	0.531	0.004	0.990
0.440	0.004	87.188	47.000	0.477	0.020	1.120
0.450	0.005	98.438	47.560	0.537	-0.029	1.130
0.460	0.005	95.625	50.246	0.383	0.137	0.950
0.470	0.004	95.625	53.267	0.447	0.062	1.090
0.480	0.003	91.406	61.324	0.229	0.059	1.040
0.490	0.003	82.969	61.548	0.098	0.213	1.030
0.500	0.003	82.969	59.198	0.064	0.129	0.890
0.510	0.003	111.094	64.458	0.209	0.225	0.850
0.520	0.003	88.594	60.093	0.268	0.010	0.700
0.530	0.003	64.688	59.086	0.287	0.057	0.700
0.540	0.002	56.250	54.946	0.127	-0.055	0.880
0.550	0.002	92.812	57.296	0.199	0.182	0.680
0.560	0.003	106.875	50.246	0.387	-0.088	0.540
0.570	0.002	90.000	55.058	0.410	-0.012	0.520
0.580	0.001	90.000	64.234	0.225	-0.004	0.510
Time Stamp= 2012-02-01 01:50:00
0.025	0.000	127.969	58.974	0.309	-0.324	2.550
0.030	0.000	143.438	68.039	-0.215	-0.377	2.550
0.035	0.002	112.500	62.779	0.344	-0.252	2.550
0.040	0.002	119.531	70.389	0.168	-0.193	2.550
0.045	0.004	75.938	62.220	0.371	-0.018	2.550
0.050	0.005	184.219	67.815	0.195	-0.188	2.550
0.055	0.011	147.656	58.079	0.494	-0.232	2.550
0.060	0.051	171.562	36.817	0.652	-0.135	2.250
0.065	0.253	158.906	21.262	0.906	-0.055	2.030
0.070	1.000	164.531	19.360	0.895	-0.064	1.980
0.075	0.616	161.719	18.912	0.943	-0.043	2.020
0.080	0.393	156.094	19.472	0.887	0.043	1.650
0.085	0.184	158.906	17.569	0.898	0.033	1.740
0.090	0.076	154.688	18.353	0.941	0.025	1.830
0.095	0.026	150.469	37.488	0.355	0.021	1.900
0.100	0.034	142.031	32.565	0.607	0.025	1.420
0.110	0.029	129.375	35.698	0.518	0.023	1.490
0.120	0.072	106.875	27.753	0.729	-0.029	1.230
0.130	0.200	101.250	19.695	0.855	-0.020	1.110
0.140	0.465	97.031	21.038	0.811	-0.021	1.080
0.150	0.381	99.844	23.053	0.752	-0.010	1.050
0.160	0.211	101.250	26.634	0.707	-0.064	1.090
0.170	0.169	102.656	27.305	0.680	-0.025	1.050
0.180	0.198	102.656	22.269	0.777	-0.031	0.950
0.190	0.207	105.469	24.955	0.697	-0.033	1.010
0.200	0.186	104.062	24.731	0.738	0.014	0.980
0.210	0.106	104.062	33.460	0.580	-0.045	1.000
0.220	0.072	101.250	37.265	0.477	-0.041	1.030
0.230	0.078	94.219	35.698	0.426	-0.045	1.000
0.240	0.067	95.625	34.131	0.535	-0.076	1.050
0.250	0.099	94.219	28.424	0.637	-0.014	1.000
0.260	0.069	94.219	31.557	0.627	-0.051	0.950
0.270	0.049	102.656	33.124	0.580	-0.057	0.980
0.280	0.031	92.812	39.391	0.387	-0.131	0.970
0.290	0.030	94.219	35.586	0.527	-0.043	1.100
0.300	0.018	104.062	41.405	0.350	-0.039	1.130
0.310	0.025	104.062	36.034	0.510	0.010	1.030
0.320	0.014	101.250	38.831	0.445	0.078	1.180
0.330	0.018	88.594	38.943	0.424	-0.092	1.010
0.340	0.016	101.250	37.488	0.531	0.070	1.100
0.350	0.013	98.438	42.300	0.529	-0.207	1.120
0.360	0.010	94.219	40.510	0.516	0.006	1.090
0.370	0.009	92.812	43.084	0.422	0.086	1.120
0.380	0.012	95.625	40.622	0.479	0.029	1.010
0.390	0.012	91.406	36.705	0.662	0.025	0.940
0.400	0.009	92.812	46.553	0.422	0.217	0.990
0.410	0.007	112.500	46.777	0.379	0.059	1.110
0.420	0.005	111.094	48.567	0.520	0.248	1.190
0.430	0.004	98.438	42.972	0.625	0.082	1.190
0.440	0.007	87.188	47.000	0.510	-0.014	0.940
0.450	0.005	98.438	43.308	0.543	0.092	1.080
0.460	0.005	95.625	42.412	0.396	0.029	1.090
0.470	0.004	88.594	43.531	0.545	0.014	1.180
0.480	0.005	73.125	57.743	0.094	0.070	1.040
0.490	0.004	67.500	58.527	0.221	0.068	0.990
0.500	0.003	78.750	60.989	0.203	0.164	0.940
0.510	0.004	77.344	52.036	0.371	0.084	0.890
0.520	0.004	91.406	59.198	0.209	0.092	0.790
0.530	0.002	80.156	64.010	0.336	0.193	0.770
0.540	0.003	60.469	67.032	0.180	0.092	0.590
0.550	0.003	77.344	64.346	-0.076	0.078	0.520
0.560	0.003	60.469	56.848	0.068	0.121	0.560
0.570	0.002	68.906	59.422	-0.072	0.225	0.540
0.580	0.002	66.094	61.436	0.068	0.068	0.450
Time Stamp= 2012-02-01 02:20:00
0.025	0.000	158.906	63.898	0.072	-0.168	2.550
0.030	0.000	213.750	70.836	-0.367	-0.078	2.550
0.035	0.002	82.969	55.170	0.252	-0.354	2.550
0.040	0.001	129.375	74.082	0.160	0.158	2.550
0.045	0.005	82.969	68.934	0.039	0.221	2.550
0.050	0.009	137.812	58.639	0.146	0.066	2.550
0.055	0.012	158.906	47.784	0.240	0.057	2.550
0.060	0.037	143.438	33.684	0.865	0.047	2.510
0.065	0.244	151.875	15.555	0.918	0.008	2.040
0.070	1.000	157.500	16.786	0.930	-0.010	1.850
0.075	0.951	154.688	16.562	0.920	-0.035	1.750
0.080	0.415	157.500	13.093	0.924	-0.016	1.720
0.085	0.167	157.500	19.919	0.930	0.027	1.790
0.090	0.069	160.312	23.276	0.793	-0.090	1.640
0.095	0.034	157.500	27.753	0.836	-0.037	1.530
0.100	0.044	160.312	24.731	0.812	0.033	1.410
0.110	0.032	123.750	29.543	0.648	-0.006	1.280
0.120	0.093	109.688	21.374	0.814	0.002	1.190
0.130	0.170	105.469	21.934	0.822	-0.031	1.120
0.140	0.274	102.656	22.829	0.791	-0.037	1.060
0.150	0.172	101.250	28.872	0.604	-0.023	1.150
0.160	0.172	105.469	25.179	0.746	-0.025	1.080
0.170	0.192	104.062	27.529	0.615	-0.029	1.090
0.180	0.119	97.031	21.822	0.795	-0.029	1.050
0.190	0.086	99.844	26.522	0.705	-0.029	0.990
0.200	0.086	102.656	31.893	0.541	0.002	1.010
0.210	0.097	102.656	28.536	0.658	-0.031	0.930
0.220	0.078	98.438	37.265	0.377	-0.137	1.010
0.230	0.055	94.219	33.907	0.482	-0.047	1.050
0.240	0.066	98.438	26.298	0.750	-0.021	0.970
0.250	0.058	92.812	29.096	0.658	-0.041	0.970
0.260	0.043	98.438	29.991	0.596	-0.006	0.910
0.270	0.041	97.031	31.893	0.604	-0.037	0.860
0.280	0.031	92.812	32.565	0.609	-0.109	0.970
0.290	0.031	105.469	34.467	0.555	0.000	0.990
0.300	0.019	112.500	37.712	0.537	0.059	0.950
0.310	0.016	102.656	40.622	0.498	-0.068	1.030
0.320	0.008	109.688	50.805	0.342	0.117	1.240
0.330	0.006	94.219	51.924	0.033	0.092	1.240
0.340	0.016	92.812	33.012	0.613	-0.041	0.930
0.350	0.017	94.219	34.579	0.695	0.043	0.960
0.360	0.010	88.594	35.698	0.621	0.041	1.010
0.370	0.009	98.438	40.622	0.529	0.061	0.940
